username,password,mail_address,phone_number,status,last_login,date_started,num_of_lights
"123456    password
Name: 0, dtype: object","123456    password
Name: 0, dtype: object",OVOMTPn@gmail.com,818-638-4924,,10/13/2022 12:02 PM,03/04/2022 09:43 AM,1200
"123456    123456789
Name: 1, dtype: object","123456    123456789
Name: 1, dtype: object",EWOslIZ@gmail.com,657-790-8770,,08/31/2022 12:50 AM,03/29/2022 01:08 AM,1200
"123456    12345678
Name: 2, dtype: object","123456    12345678
Name: 2, dtype: object",dFugbaM@gmail.com,209-647-2237,,09/24/2022 10:35 PM,03/25/2022 04:26 PM,1200
"123456    12345
Name: 3, dtype: object","123456    12345
Name: 3, dtype: object",bNsvyQD@gmail.com,650-864-1280,,10/25/2022 01:34 AM,05/20/2022 06:15 AM,1200
"123456    qwerty
Name: 4, dtype: object","123456    qwerty
Name: 4, dtype: object",hrWIwIr@gmail.com,669-707-5292,,09/01/2022 06:14 PM,06/18/2022 07:10 AM,1200
"123456    123123
Name: 5, dtype: object","123456    123123
Name: 5, dtype: object",lAYMXLl@gmail.com,323-228-8041,,08/01/2022 03:34 PM,05/15/2022 10:52 PM,1200
"123456    111111
Name: 6, dtype: object","123456    111111
Name: 6, dtype: object",VxwBaVJ@gmail.com,213-886-7923,,08/06/2022 01:34 PM,05/11/2022 08:46 AM,1200
"123456    abc123
Name: 7, dtype: object","123456    abc123
Name: 7, dtype: object",JOAVEcz@gmail.com,415-210-4460,,09/30/2022 01:52 PM,05/06/2022 02:33 PM,1200
"123456    1234567
Name: 8, dtype: object","123456    1234567
Name: 8, dtype: object",KwkecsZ@gmail.com,657-836-9651,,10/07/2022 05:17 PM,05/20/2022 02:27 PM,1200
"123456    dragon
Name: 9, dtype: object","123456    dragon
Name: 9, dtype: object",DREwSlr@gmail.com,669-860-8798,,08/20/2022 07:09 AM,06/17/2022 01:56 PM,1200
"123456    1q2w3e4r
Name: 10, dtype: object","123456    1q2w3e4r
Name: 10, dtype: object",NVyJPqG@gmail.com,626-219-7674,,10/11/2022 03:37 PM,04/19/2022 09:33 AM,1200
"123456    sunshine
Name: 11, dtype: object","123456    sunshine
Name: 11, dtype: object",vZQexdP@gmail.com,949-190-6505,,08/22/2022 03:16 PM,06/13/2022 01:03 PM,1200
"123456    654321
Name: 12, dtype: object","123456    654321
Name: 12, dtype: object",YEhKUuU@gmail.com,669-930-1830,,10/03/2022 03:26 PM,05/21/2022 06:36 PM,1200
"123456    master
Name: 13, dtype: object","123456    master
Name: 13, dtype: object",yTAobmy@gmail.com,530-143-8075,,08/08/2022 04:31 PM,04/23/2022 03:27 PM,1200
"123456    1234
Name: 14, dtype: object","123456    1234
Name: 14, dtype: object",fjZsFBa@gmail.com,669-453-5793,,10/22/2022 12:17 AM,04/29/2022 07:24 PM,1200
"123456    football
Name: 15, dtype: object","123456    football
Name: 15, dtype: object",inaQvvv@gmail.com,323-615-7758,,10/05/2022 02:56 PM,05/30/2022 03:02 AM,1200
"123456    1234567890
Name: 16, dtype: object","123456    1234567890
Name: 16, dtype: object",IBgOMBB@gmail.com,916-998-1350,,10/01/2022 04:07 AM,03/19/2022 05:48 PM,1200
"123456    000000
Name: 17, dtype: object","123456    000000
Name: 17, dtype: object",WbweABU@gmail.com,818-914-7386,,09/06/2022 07:02 AM,03/17/2022 01:57 PM,1200
